date,code,open,close,high,low,volume,amount,change_pct,amplitude,turnover_rate,volume_ratio_5,volume_ratio_10,turnover_ratio_5,ma5_dev,ma10_dev,ma20_dev,return_3d,return_5d,return_10d,volatility_10d,price_position_10d,ma_bull_aligned,next_date,next_open_return,next_close_return,next_touch_limit_up,next_close_limit_up,score
2026-04-17,600977,14.14,14.91,15.4,14.1,934286,1372907326.0,5.0,9.15,5.0,2.8122272161934703,3.2573869319752724,2.808988764044944,4.660957461743642,7.012129476781759,9.90307006228579,5.44554455445545,7.1120689655172376,10.444444444444457,1.9937900829814958,77.92792792792793,1,2026-04-20,-0.2057613168724215,0.137174211248281,0,0,102.0
2026-04-17,601933,4.18,4.11,4.32,4.1,4038260,1695332500.0,3.53,5.54,4.45,3.1619561147495365,3.9635599742336116,3.1650071123755334,4.2089249492900604,7.3107049608355235,7.76088096486629,5.115089514066495,10.483870967741948,9.600000000000009,2.099496640794967,70.00000000000001,1,2026-04-20,-4.390243902439018,-3.658536585365846,0,0,102.0
2026-04-17,600776,15.55,16.74,17.18,15.53,866693,1449198055.0,7.17,10.56,9.07,4.936930727472615,5.199869927206033,4.934711643090316,6.420851875397338,7.916451779267675,10.273047659826728,7.445442875481367,7.791371538956859,12.499999999999979,2.9254943115336576,81.81818181818177,1,2026-04-20,-0.5309734513274322,-0.943952802359882,0,0,100.0
2026-04-17,603375,39.73,42.79,43.7,39.5,87616,369322337.0,7.7,10.57,13.74,4.987135994171353,5.654651650585691,4.989106753812636,6.2735942777667475,9.144241805892106,13.921354596522995,7.4855563928660995,9.493346980552708,14.841653247450349,2.580116856213119,87.71929824561398,1,2026-04-20,-1.02870813397129,-0.2870813397129135,0,0,100.0
2026-04-17,002559,10.41,10.95,11.15,10.39,466825,507748201.51,4.78,7.27,9.26,2.01220621336692,2.277556197933819,2.0112945264986966,3.9096602770924083,8.426576888800863,12.181128982686197,2.6241799437675573,8.415841584158423,20.197585071350165,2.5800416700172626,91.0313901345291,1,2026-04-20,-1.1009174311926717,-1.1009174311926717,0,0,99.0
2026-04-17,002963,14.79,15.8,15.98,14.53,76710,117710125.0,6.83,9.8,6.24,2.3360416108363586,2.417471597623812,2.338830584707646,6.7711852953102,8.04157549234137,8.241419469754074,8.74053682037166,9.874826147426985,10.33519553072626,3.6848346430071386,92.59259259259261,1,2026-04-20,-0.8755472170106304,-0.6879299562226326,0,0,99.0
2026-04-17,600531,14.2,14.63,15.17,14.2,959639,1411456148.0,4.2,6.91,7.94,2.1427142415041796,2.1707984282031267,2.1447866018368456,5.4794520547945424,7.565620174987142,9.77302569874321,7.258064516129026,7.970479704797051,13.060278207109754,3.679546596830056,78.82352941176475,1,2026-04-20,4.5765027322404395,4.43989071038251,0,0,99.0
2026-04-17,600577,12.48,13.25,13.55,12.4,1083907,1407986287.0,6.34,9.23,5.04,2.2484338439071343,2.27392965611835,2.247992863514719,5.51043159738811,6.820380522412117,8.602106471046245,6.7687348912167655,5.915267785771383,11.531986531986526,2.7632928227550844,83.60655737704914,1,2026-04-20,1.21765601217656,1.2937595129375978,0,0,99.0
2026-04-17,000782,5.86,5.99,6.08,5.76,638057,375379693.46,3.1,5.51,12.08,4.5699607075787245,4.7816201349675325,4.568835098335855,6.887937187723048,9.446373104330341,10.823311748381137,9.506398537477168,10.516605166051662,11.13172541743972,3.8343189477512327,90.21739130434784,1,2026-04-20,2.0168067226890685,2.0168067226890685,0,0,98.0
2026-04-17,002564,6.06,6.38,6.53,5.95,356961,223492349.69,4.76,9.52,4.16,3.1064073823961458,2.921082866345449,3.109118086696562,3.5378123985718934,4.986012835280573,3.311472755242506,3.0694668820678395,5.107084019769359,6.867671691792299,2.518448376921882,81.48148148148144,0,2026-04-20,-1.424050632911389,-1.1075949367088667,0,0,97.0
2026-04-20,002813,24.25,25.85,26.06,23.87,61386,154352397.52,6.6,9.03,5.12,4.396962968268749,4.681487130600572,4.391080617495712,5.106936651215754,5.76057605760576,6.446498795528011,7.843137254901977,5.63955864323662,9.859753506162349,2.6293089682370807,92.13483146067425,1,2026-04-21,6.171874999999982,4.296875,0,0,105.0
